epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,461.691,0.47359,0.86982,0.33878,0.86275,0,0.97167,0.98812,0.99254,0.92495,0.96815,0.98475,0.99175,0.86249,0.39682,0.7764,0.2399,0.80849,0,0.0007328,0.0007328,0.0007328
66,468.713,0.46792,0.85462,0.32757,0.85879,0,0.96993,0.98405,0.9896,0.91925,0.96826,0.98236,0.98925,0.85761,0.3933,0.77406,0.24494,0.80809,0,0.000713,0.000713,0.000713
67,475.719,0.46731,0.86497,0.33339,0.857,0,0.97386,0.98644,0.99049,0.91754,0.97218,0.98475,0.98981,0.84474,0.39313,0.78919,0.24783,0.80862,0,0.0006932,0.0006932,0.0006932
68,482.728,0.45751,0.85244,0.32308,0.85551,0,0.983,0.97983,0.98993,0.9204,0.9813,0.97814,0.98905,0.85353,0.39149,0.77699,0.23675,0.80925,0,0.0006734,0.0006734,0.0006734
69,489.775,0.46895,0.8368,0.32185,0.86273,0,0.97968,0.98039,0.98971,0.91582,0.97459,0.9753,0.98625,0.84989,0.39114,0.79027,0.24257,0.80703,0,0.0006536,0.0006536,0.0006536
70,496.819,0.46326,0.85996,0.33061,0.85724,0,0.9831,0.98618,0.99197,0.92568,0.97972,0.98279,0.99123,0.86002,0.38711,0.79028,0.23243,0.80563,0,0.0006338,0.0006338,0.0006338
71,503.815,0.45776,0.84754,0.31971,0.85988,0,0.97854,0.98644,0.99111,0.92276,0.97686,0.98475,0.99055,0.86207,0.38238,0.76197,0.23283,0.80536,0,0.000614,0.000614,0.000614
72,510.815,0.45359,0.84029,0.31604,0.85387,0,0.98206,0.98305,0.98755,0.91605,0.97867,0.97966,0.98573,0.86033,0.38589,0.76154,0.23193,0.806,0,0.0005942,0.0005942,0.0005942
73,517.811,0.45292,0.82792,0.32723,0.85298,0,0.97575,0.98644,0.99167,0.91784,0.97407,0.98475,0.99123,0.85941,0.38608,0.75874,0.23132,0.80571,0,0.0005744,0.0005744,0.0005744
74,524.834,0.45168,0.83017,0.31642,0.86316,0,0.97326,0.98704,0.99072,0.92396,0.97159,0.98534,0.99015,0.8665,0.38961,0.76951,0.22752,0.8074,0,0.0005546,0.0005546,0.0005546
75,531.874,0.45687,0.82724,0.31612,0.85696,0,0.98368,0.98305,0.99,0.92302,0.98028,0.97966,0.98779,0.86977,0.38632,0.75011,0.23956,0.80501,0,0.0005348,0.0005348,0.0005348
76,538.922,0.44621,0.81217,0.31154,0.85082,0,0.98468,0.9802,0.99025,0.91997,0.98127,0.97702,0.98822,0.86033,0.38911,0.75677,0.2338,0.80558,0,0.000515,0.000515,0.000515
77,546.013,0.44262,0.81294,0.31002,0.84856,0,0.97653,0.98475,0.99076,0.92022,0.97653,0.98475,0.99076,0.85955,0.3821,0.74823,0.23012,0.80469,0,0.0004952,0.0004952,0.0004952
78,553.207,0.44847,0.81746,0.30658,0.85273,0,0.98141,0.98424,0.99172,0.91945,0.97972,0.98255,0.99008,0.85877,0.3818,0.74584,0.23465,0.80578,0,0.0004754,0.0004754,0.0004754
79,560.375,0.45703,0.83501,0.31218,0.85415,0,0.98206,0.97966,0.99143,0.92241,0.97694,0.97458,0.98934,0.85707,0.37755,0.76903,0.23007,0.80357,0,0.0004556,0.0004556,0.0004556
80,567.488,0.44454,0.79721,0.30815,0.85255,0,0.98138,0.98255,0.99046,0.92103,0.97969,0.98089,0.98998,0.86838,0.38686,0.74527,0.23186,0.80474,0,0.0004358,0.0004358,0.0004358
81,574.593,0.43478,0.79935,0.29836,0.85062,0,0.98537,0.98644,0.99079,0.92217,0.98537,0.98644,0.99079,0.86322,0.38045,0.7472,0.22395,0.80489,0,0.000416,0.000416,0.000416
82,581.67,0.44715,0.78891,0.29563,0.85196,0,0.97937,0.98475,0.99136,0.92262,0.97566,0.98136,0.99061,0.86338,0.38365,0.74253,0.22818,0.80609,0,0.0003962,0.0003962,0.0003962
83,588.725,0.44502,0.83059,0.30526,0.85449,0,0.9813,0.97843,0.9906,0.9244,0.9779,0.97504,0.9902,0.86699,0.37411,0.75465,0.22102,0.80332,0,0.0003764,0.0003764,0.0003764
84,595.801,0.43275,0.78993,0.29494,0.85225,0,0.98162,0.98644,0.99121,0.9263,0.97825,0.98305,0.99053,0.87729,0.3792,0.74146,0.22565,0.80386,0,0.0003566,0.0003566,0.0003566
85,602.871,0.43998,0.78565,0.29552,0.84762,0,0.98146,0.9868,0.99071,0.92786,0.97977,0.98515,0.99019,0.87722,0.37364,0.72131,0.22125,0.8019,0,0.0003368,0.0003368,0.0003368
86,609.983,0.43544,0.78651,0.28896,0.8557,0,0.98269,0.98983,0.99037,0.92856,0.98269,0.98983,0.99037,0.87427,0.37169,0.72485,0.2162,0.80204,0,0.000317,0.000317,0.000317
87,617.048,0.42609,0.79134,0.28101,0.84874,0,0.9765,0.98599,0.99024,0.92497,0.97482,0.98429,0.98999,0.87197,0.37203,0.72962,0.22134,0.80275,0,0.0002972,0.0002972,0.0002972
88,624.127,0.42739,0.75631,0.28417,0.8476,0,0.98638,0.98226,0.99051,0.92968,0.98298,0.97887,0.98995,0.87533,0.37111,0.73814,0.21562,0.80164,0,0.0002774,0.0002774,0.0002774
89,631.184,0.42995,0.7882,0.28434,0.84856,0,0.975,0.9916,0.99045,0.93164,0.97167,0.98821,0.98976,0.87291,0.37262,0.73159,0.22329,0.80205,0,0.0002576,0.0002576,0.0002576
90,638.234,0.42823,0.74742,0.28257,0.84634,0,0.97987,0.98644,0.99047,0.9312,0.97645,0.98305,0.98988,0.87996,0.36948,0.73681,0.21292,0.80081,0,0.0002378,0.0002378,0.0002378
91,646.282,0.37386,0.69711,0.23372,0.81292,0,0.97946,0.98983,0.98971,0.92742,0.97611,0.98644,0.98904,0.86659,0.3709,0.73111,0.22304,0.80156,0,0.000218,0.000218,0.000218
92,653.09,0.37016,0.7206,0.2261,0.81,0,0.97828,0.99225,0.98953,0.92821,0.97493,0.98886,0.98873,0.87054,0.36727,0.72864,0.21761,0.80079,0,0.0001982,0.0001982,0.0001982
93,659.939,0.36496,0.68943,0.2258,0.80754,0,0.97655,0.98798,0.98992,0.93002,0.9732,0.98459,0.98921,0.8743,0.36439,0.72428,0.2146,0.79991,0,0.0001784,0.0001784,0.0001784
94,666.735,0.36161,0.66446,0.21724,0.80485,0,0.97711,0.98644,0.99005,0.92971,0.97376,0.98305,0.98946,0.87438,0.36507,0.72707,0.21589,0.80029,0,0.0001586,0.0001586,0.0001586
95,673.512,0.35487,0.65974,0.22047,0.81488,0,0.96795,0.99322,0.98992,0.93088,0.96462,0.98983,0.98926,0.87528,0.36574,0.72631,0.21674,0.80063,0,0.0001388,0.0001388,0.0001388
96,680.315,0.35845,0.65609,0.21649,0.81134,0,0.98463,0.97751,0.98952,0.932,0.98293,0.97581,0.98907,0.87569,0.36199,0.7225,0.21663,0.79953,0,0.000119,0.000119,0.000119
97,687.261,0.35785,0.67989,0.21418,0.814,0,0.97976,0.98441,0.98898,0.93103,0.97638,0.98105,0.98823,0.87349,0.36075,0.71669,0.21687,0.79896,0,9.92e-05,9.92e-05,9.92e-05
98,694.193,0.35477,0.64901,0.21289,0.8047,0,0.98132,0.97959,0.98906,0.93214,0.97793,0.9762,0.98844,0.87861,0.36133,0.7149,0.21826,0.79974,0,7.94e-05,7.94e-05,7.94e-05
99,701.052,0.35531,0.66618,0.21404,0.81243,0,0.97972,0.9824,0.98996,0.93214,0.97634,0.97901,0.98944,0.87943,0.35831,0.71644,0.2119,0.79924,0,5.96e-05,5.96e-05,5.96e-05
100,708.008,0.35393,0.65165,0.21088,0.8034,0,0.97574,0.98644,0.99001,0.93148,0.97239,0.98305,0.98943,0.87888,0.35911,0.71347,0.21178,0.79933,0,3.98e-05,3.98e-05,3.98e-05
